Title in English,Title in Arabic,Description,Author,Translator,Publishing House,Date of Publishing,Date of Translation,Translator Gender,Country,Source,Book Cover,Author Image,Genre,Traslator Country,Original Cover,Note,https://www.publishersweekly.com/pw/translation/search/index.html
Of Noble Origins,,,Sahar Khalifeh,Aida Bamia,American University at Cairo,,2012,Female,Palestine,https://www.publishersweekly.com/pw/translation/search/index.html,https://aucpress.com/wp-content/uploads/2016/10/4165429.jpg,,Poetry,,,,
Handful of Blue Earth,,,Venus Khoury-Ghata,Marilyn Hacker,Liverpool University Press,,2017,Female,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,https://mediaserver.cloudpublish.co.uk/9781786948045/cover/9781786948045.png,,Poetry,,,,
Tales of a Severed Head,,,Rachida Madani,Marilyn Hacker,Yale University Press,,2012,Female,Morocco,https://www.publishersweekly.com/pw/translation/search/index.html,https://yalebooks.yale.edu/sites/default/files/styles/book_jacket/public/imagecache/external/274579562aeb94a2880c1031419fef6d.jpg?itok=v-DAy2in,,,,,,
32,,,Sahar Mandour,Nicole Fares,Syracuse University Press,,2016,Female,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,https://press.syr.edu/cover/3078.jpg,,Fiction,,,,
"Beekeeper: Saving the Stolen Women of Iraq,",,,Dunya Mikhail,Max Weiss; Dunya Mikhail;,New Directions,,2018,Both,Iraq,https://www.publishersweekly.com/pw/translation/search/index.html,"https://ndbooks.imgix.net/9780811226127.jpg?auto=format&ch=Width,DPR&q=98&w=500",,Nonfiction,,,,
Diary of a Wave Outside the Sea,,,Dunya Mikhail,Elizabeth Winslow,New Directions,,2009,Female,Iraq,https://www.publishersweekly.com/pw/translation/search/index.html,"https://ndbooks.imgix.net/Diary_Of_A_Wave_Outside_The_Sea.jpg?auto=format&ch=Width,DPR&q=98&w=500",,Poetry,,,,
Iraqi Nights,,,Dunya Mikhail,Kareem James Abu-Zeid,New Directions,,2014,Male,Iraq,https://www.publishersweekly.com/pw/translation/search/index.html,"https://ndbooks.imgix.net/Iraqi_Nights.jpg?auto=format&ch=Width,DPR&q=98&w=500",,Poetry,,,,
Final Night,,,Buthaina Al Nasiri,Denys Johnson-Davies,American University at Cairo,,2008,Male,Iraq,https://www.publishersweekly.com/pw/translation/search/index.html,"https://images-na.ssl-images-amazon.com/images/I/515S1gejnaL._SX324_BO1,204,203,200_.jpg",,Fiction,,,,
Proof of the Honey,,,Salwa al Neimi,Cal Perkins,Europa Editions,,2009,Male,Syria,https://www.publishersweekly.com/pw/translation/search/index.html,https://www.europaeditions.com/spool/cover_9781933372686__id278_w480_t1443612247__1x.jpg,,Fiction,,,,
So you may see,,,Mona Prince,Raphael Cohen,American University at Cairo,,2011,Male,Egypt,https://www.publishersweekly.com/pw/translation/search/index.html,https://aucpress.com/wp-content/uploads/2016/10/4164446.jpg,,Fiction,,,,
Zubaida's Window,ممرات السكون,"In the first novel in English by an Iraqi to focus on the 2003 invasion, Iqbal Al-Qazwini masterfully describes the tortured psyche of a woman who fled Iraq but still longs for her homeland. Like millions around the world, Iraqi exile Zubaida watches the invasion on her television. As she sits in her apartment in Berlin, the unreal and constantly flickering images of US forces closing in on Baghdad are her only connection to the war a world away. But unlike most viewers, she can remember the city of her childhood, where memories of her loving grandmother and of attending movies with her father mix with nightmarish images of hangings in Al-Tahrir Square. Struggling to deal with the horror on the television and the ghosts of her memory, Zubaida, in her grief, creates her own world, one in which she can almost go home. Haunting and lyrical, Zubaida’s Window reveals the individual costs of war and the resilience of those who live through it.Haunting and lyrical, Zubaida’s Window reveals the individual costs of war and the resilience of those who live through it.",Iqbal Al Qazwini,Azza El-Kholy; Amira Nowaira;,Feminist Press,2006,2008,Female,Iraq,https://www.publishersweekly.com/pw/translation/search/index.html,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354209769l/3065015.jpg,https://images.gr-assets.com/authors/1465387589p5/1312892.jpg,Fiction,,https://books.google.com/books/content?id=XzljAAAAMAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE73u6ejsemUTwbfvfKiY3i66Evy4TLgA6w1xAd9QQH76Gb6PjP10nXVfKwMj-eyzRnwxn-k_hYXtMkkgYR6uNPuKfLXSFr0L1OTVLlsUDUbc8oNJGPXF3Dd1n1Q0xlrLlyL9uUwx,,
Novel,,,Iqbal Al Qazwini,Omnia Amin,Interlink,,2008,Female,Egypt,https://www.publishersweekly.com/pw/translation/search/index.html,,,Fiction,,,,
Zeina,,,Iqbal Al Qazwini,Amira Nowaira,Saqi,,2011,Female,Egypt,https://www.publishersweekly.com/pw/translation/search/index.html,https://17osyg1teaul3pgmn313mq15-wpengine.netdna-ssl.com/wp-content/uploads/9780863563553-1-667x1024.jpg,,Fiction,,,,
"Present Tense of the World,",,,Amina Said,Marilyn Hacker,Black Widow Press,,2011,Female,Tunisia,https://www.publishersweekly.com/pw/translation/search/index.html,https://images.booksense.com/images/books/070/264/FC9780984264070.JPG,,Poetry,,,,
Stillborn: Notebooks of a Woman from the Student-Movement Generation in Egypt,,,Arwa Salih,Samah Selim,Seagull Books,,2017,Female,Egypt,https://www.publishersweekly.com/pw/translation/search/index.html,https://cdn11.bigcommerce.com/s-i2ai54f2r4/images/stencil/original/products/177/1211/salih_stillborn__32522.1601633720.jpg?c=2,,Nonfiction,,,,
Touch,,,Adania Shibli,Paula Haydar,Clockroot,,2010,Female,Palestine,https://www.publishersweekly.com/pw/translation/search/index.html,https://d28hgpri8am2if.cloudfront.net/book_images/onix/cvr9781566568074/touch-9781566568074_lg.jpg,,Fiction,,,,
"We Are All Equally Far from Love,",,,Adania Shibli,Paul Starkey,Clockroot,,2012,Male,Palestine,https://www.publishersweekly.com/pw/translation/search/index.html,https://i0.wp.com/arablit.org/wp-content/uploads/2012/10/shibli_cover.jpg?resize=150%2C214,,Fiction,,,,
"Maryam, Keeper of Stories,",,,Alawiya Sobh,Nirvana Tanoukhi,Seagull Books,,2016,Female,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,https://cdn11.bigcommerce.com/s-i2ai54f2r4/images/stencil/original/products/367/779/9780857423252__45850.1595071805.jpg?c=2,,Fiction,,,,
Gazelle Tracks,,,Miral al Tahawy,Anthony Calderbank,Garnet Publishing,,2008,Male,Egypt,https://www.publishersweekly.com/pw/translation/search/index.html,https://www.garnetpublishing.co.uk/app/uploads/2015/10/Gazelle.jpg,,Fiction,,,,
Desert Voices,,,Various Various,Moneera al Ghadeer,American University at Cairo,,2009,Female,Saudi Arabia,https://www.publishersweekly.com/pw/translation/search/index.html,"https://res.cloudinary.com/bloomsbury-atlas/image/upload/w_360,c_scale/jackets/9780857711960.jpg",,Poetry,,,,
Pearls on a Branch,,,Various Various,Inea Bushnaq,Archipelago,,2018,Female,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,https://archipelagobooks.org/wp-content/uploads/2015/10/Pearls-new-cover.jpg,,Fiction,,,,
Cancelled Memories,الذكريات الملغاة,"Set during the Lebanese civil war, this novel chronicles the splintering of the Al-Mukhtars, a Lebanese family whose love and trust for one another is strained by the increasing economic, social, and psychological tensions that surround them. Huda, feeling helpless as a housewife, pursues a career as a university professor and immerses herself in her work and students. Sharif, trapped in a static bureaucratic position, begins to resent his wife’s success and slowly withdraws from his family. When their marriage dissolves, the couple fight over the custody of their adolescent daughter. In a patriarchal society that favors the rights of the father, Huda is powerless as her daughter is taken from her. Through the author’s use of flashbacks, the reader witnesses the stark contrast between the young, idealistic couple and the older husband and wife, who have become increasingly isolated and disillusioned. Narrated through the voices of several characters, Canceled Memories depicts a Lebanese family seeking to maintain love and trust for each other despite the destructive and corrupting effects of war. Nadine Sinno’s fluent translation introduces a wider audience to one of Lebanon’s finest contemporary writers.",Nazik Saba Yared,Nadine Sinno,Syracuse University Press,1998,2009,Female,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,https://press.syr.edu/cover/1264.jpg,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAoHCBUWFRgVFhUZGBgZGBgYGRgYHBkYGBgYGBgZGRgYGBgcIS4lHB4rIRgaJjgmKy8xNTU1GiQ7QDs0Py40NTEBDAwMEA8QHhISHzQsJSsxNDcxNDQ0NDQ0NDQ0ND80NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NP/AABEIARMAtwMBIgACEQEDEQH/xAAbAAAABwEAAAAAAAAAAAAAAAAAAQIDBAUGB//EAD0QAAIBAgMFBQYFAwMEAwAAAAECAAMRBCExBRJBUWEGInGBkRMyobHB8BRCUmLhB9HxgrLCFXKSoiMkNP/EABkBAAMBAQEAAAAAAAAAAAAAAAABAgMEBf/EACgRAAICAgEDBAICAwAAAAAAAAABAhEDEiExQVEEEyJhMnGB8BQz8f/aAAwDAQACEQMRAD8A0gEUFhqIsTmNxKrFRSrAqRAJtFARVoYSA7GzDVI4EhkxDGysTaLYxMCRDiFuxRhXjATaKCw1WHABthEsscIiWiAYYRsiOkQiIwG92EVjoEBEAIzLG2WSGEbYRiIzLBHWWCMRd2irQQ7SShMMCKVYoAQAQFiiYGiSYgAxiDAxhgQKEGCHaGVygSNGKVYarDtGAkwQyIkRACIcxwiNNABESYoxBMYCgIGEAMMmADbCNOI+0bYQEMMIIthDjEXFooJADBeIoO8SxhNCaAAvCMUBEGABRQWGFjWLxdOkm+7hF5nLy6wAetK/H7Vo0h33APK9z6TIdoe21xuYcGx1dhYkclGo8dZkVqu7XY6634woqMbN9X7ZIckS/j8zb+ZHqdravBUHkfneZhmVRw6cfPORjUJ6dP4k8s11ikbfDdqixsVHqAZf4DaKOORnJme314yVhcWRo2lrZ/eeUb4I1T6HW3EYc2mOwHahkKo5DIbAk+8vXqJpvbhgGU3BzBGhHSTKVEUOPUjDVIljGzM3MrUfFSK9pGFiotmOh8VILyNeGry4z8kuI+YIlWgmlkUXIEBgvBKGJgCw7wi0QAYwIIFEVeADGPxS0qb1G0RS1udtB5zkO2tp1MTULub8FByVByA+zNj292uAow65k2L9B+Vfr/mYXD2va8aLjEY/DG9hYk8rn4ydTpBM2sTbQfW8UvvXBJy4aesbqsLcPLjb6RNujSKVjVTFXvl8BaRXxR+8outSyve/RdL9byOuHJ4RxoUtmPpibix5x2iSDeQzhmHAw0rutukbqXBK2iyxqMTn4Sw7Pbdam4RySjHPoeglRRxJfIyO9lYEnIHO2TW5jlI17Dk0+TrpjbRvAYhXpo6tvAqDfyjpE5hilijGKtYLaPg5QadWK+wgxsxwxBggFK8EQII9hUaMQMYRMjbQxQRCeNp2Qi5OkYykoq2Pq4OhgUSv2I+8m9zlkBCcdZOIoy2SYAZA25tD2FB6nECy9XbJf7+UsAJiP6l4yy0aQPvFn8ly/wCUlGiMTiKxZixN2YkljqSdTeRrZ2Gefn5cIFa4y4ReFGd5VF2SaJJ7py58cvHgI+cLxOt8h9/eUfoYU2ueJI8hr5cPOWey9n+1dTbuC+fBiMrDplIckaRjY5sfYCON5hl8+sv6OwqQyC5EW01lnhsKqqBJC0wJjKTOqMUikqbET9ImX2t2bAJIBB+BnQWbOQsSl8rfzM9pJlShFo5NVwxptnImIpnPOa/tLs8ZnpcHiOky9cEqCeHjb/M6oS2RwZI6sv8A+n+NId6JbIrvqOoOdvI/Cboicw7Hn/7lPPXfB/8ABj8wJ1C0xzKpCj0KbtC5VVYcGHzlphH3kU9JD24qmmQZD2btmmtMBmzGVppq5YU0ujMVJRytPui7aIhUqgcBhDc2znPXY3sBIGsErKu/UNgbKOME2WPjqZe59GzvM/t+g5R2JyANpoJG2nS3qbDoZ1YJ6zRlmipQaZVdi6pbDjp9Jf3mY7GNZXTkxmmJh6hVla+wwu8af0HeYr+pez9+mlcHOndCOYcrn1sR8TNoBM529w7PhHI/IyubfpBsfLO/lMl1NTk9BrecssHSu69Tb7MqVOc0HZumXccbZ/QCXP8AEqHMjY4XZqMgDLcHgdPSXOGw+m6oAXS2Q8hIlE2UG1zkAPGPtiGGW8b8kAAHre85+WdsUlyyxWmecbcEEZ8QPpK+hjHW9ySL8bXHlJa1Ay3HP6j+0hx+zWMl4HvYcZHdRz8ZDx+NuSmeRubX06285EV91b7jjqG062vnDQNyHt9bqx6eoH38JgcXYMedvWb7admQkNfU35hhYHpmDfwmAx477X5kel5rhVNo5c9dUL7Ob34lCnvd63/g1/hedA2dtUs5RxZh8fCZLsHhN/EFyMkU25bzZa87Xl9t9NytTqDLvWPgZp8ZScGu3DOOW0UpJlvtLAB1JJOkouy+HQs6st2ViM/hNWh3kHUTM4DuYp14NnIxtvHKF9OQmkpqVdTSBQMhK7bFcqlhqchLJpSdoGtuHhvD5zHErmi8rqLI+H2fiCM33RrkIJf4drgHpBCWWVjjjVF7QrKwuDeHiRdD4TnezttvTr7qh2plrXscuvhOhq+8l+Ynbkgsc+HaMMcnOHKpmW7MG1aqv7rzVtMhsru4xxzt9ZsAJXqv9l+UiPTfhX2xQkbH4X2tJ6ZO6HRlvra4te3GPEwy4AznMdBxDaGznoVmpOBdWtcXsw4EX8ZoexqXdl5GXnazZorEuh71xY/6R/aV3Z7CvTqsSNV+R1jm/jRtjjymjT10KgHPp/ErcQlYDuEA31cXyI+d5oaVnQA65/5hWUDvZdRoZipdqOvTjqVFCmw946jMkZSx2aCEJPO48IlqYyY5DgD8zJyKAhik76FxikzNsh334ney8CdettP8xk06u8d5xu2yAFvXPST8Wne1z4RXs+anhmD3f4jUuCHG2VlOkWRlIz45a8f485gdsKRUdP3n42M6mlAoGY8c8phcbsxqmJPdJ3t61uJCZH1EvHJbcmOaL14Rp+yWDFLDKPzNdm8T/Fo32qp3p736SD6GS9i03SmEdGRhwYQbZp71Nh0MmMqy39nNOL9tr6JOyqm9TU9JQ7YG5iUfnlJ/ZmpekAdRl6RvtPhSyB1Gam/pLx1HK0+9ozl8saa+mW6m4BkHauF30I4xGzMejoDfMDO8abHb9UImYHvTNRcZ/o0bjKP7I2xdp2Hs6mTLz49RBJmP2NTqG+h5jI+sE2vBLlpmdTXFmqGEQaII9awsITtYXjNGuHGUOepX0Zbe3cb4j6zXXmW2igXEox8Jqk0E39S71f0YYFVr7YYkfG4ffUre1+MfJhrOdSado6HFNUyip7NFE75ckFlBBzzJsD6n4xoKN+443GeX3rI/b7GFaaU1bd3yS2gJClbAEg2NzfyEkUnY0kZiCbDT0b4xycpXJmuJKKSXQlJddNJLpD1kfhlyEfoNYTK+x2RdBY5wLX0Bz8eAiKWNUKQZKdAV3TxH8yG+FQCzDjpCNdxN0yqxNYOxYajIW/UCDLVwLZeFuUbemga4t9bRxmyBibVlJ8kSsxH3pEbKS2+9rsBYcwvG0erAEZxeyMGbs5/MRYcgOJ8ZEnRaXNkurV3kzyy87yk2rVKoe6TfS0uNoMAp4WEoMJjC7hBmEuW894KPPM+XWTDh7MyzxjKLKbYy4lC1kAUknM6XmpQErZ9eMcWExlTyOUtmcUYKKpFNidhoTdSVvrY2kvAYFKY7o85KMCxOcmqbGopO6F3giTBIGSNpbQBPs0zY8uA5mT8HQ3EAkfZmyhTzPeY6k5mO7WxtOim9Ua18gBmzHkonoSlGqj0OeEZN2+pne01dUqIxtkwzl/T2pRCBmqIuXEgeg4znm0cd7RyQthwud4+p+kgsJeWcZRUV2OjD6OSblJ9eyOhYntZhk91mc/tUgerWlNj+2rsCKaBP3Md5vIaA+sy27CKTCjsj6eKJTY96rBarM4a4Uub7jG1ipOnDTpLrZeLbcIF3sXAUmxXPIi63tbgecyzpNBgcKHAd/fsp3kJUlSMjlxFrS7+NMqOGLn06mlwGKDjy+x8pMGYy6X9ZlEd6L3Lb6XFzbvAc2trb+804cEby6MO9nzGZHwkSjXJnOLhJpkfEVcQ47hRepuT/ABIFXAYjVnBP/cxv8Zb4WoPd0PGxk8ILcPhMy8eVx6GUp7JqHMuF6jMy0RGSwLlhyNvW4EsqjKBKHE4sM24vE2vwHO3WL9DnkcuWTkBc2X3Rqc8yPyjrL3C+6CJAwDIvdAtb/ElYZ7Ejj9LxOJO3AvHYNayMvEgg9Jk9m7Mehvh/fZszw3Rkv1PnNpobjjrI+0NzdLOQANSZDTXQmS2VFIDElpHw2NSoxSnvMQLkbjZC9gWNrDzt9I+6EGxBB5SDmaa6gJgEAhgQAIwQmggBpybAk5AAkk8AMyZyrbm1DiKrPmV91F/Sg08zqfGbjtjtVKeHanmXrK6LbLdFrMx8N4ZcbzmKYUDiT52+U7orjkvBF/lRIWLtEIttCfW/ziiYmjuT8ghaQg8JjxgFgcS72ON+mhDWZGZb+dwD0sZQsdPOWfZWv33T9RLD/TkfpGjHM2kmuxdVHDA8GGTKdRy8RC2fiCjeyJuhuV1uOa+HEDoYvH4YMVa9iCLMNfA8wdLdZFXEbjrvCzIQ1uDrxK8+ItKf48GryrLGpde32XgpqRcC1uWXnI4xrMWVCTumxPC/K8vG2cjAOmjAG17XBzyMh/8ASQha2+N43Nip4Wyy6TDZHHZS4nEsFJe4UA3seHjrK2rQZQcTUO4iI25THvMxHdB68bcPWa1dmqRbcZ8we+Ra4zGQAvIXaHDgUjv94sNxRoADqBbTK+ccXHYT2l8UUWz+06MBvAq3r0Iy1mqwGLVxcEE9OE5TTTdqbvVl+g+Qly7uhR6bbjAjO2RB1VhxF7ZTqnijSaIwuUk0+qOnjFBVJY2AFyToABcnwmVwj1sfWZlJSgpIDHO1siADq5Gd+HpdOHxRxgWgbrmHq2vYovBT+5io6ZnhnssKQqhFACqAFUZAAaACceT48UXbTphYPApTTcRd0XuebH9THiesibe2EuJp7t9x1zRxqp5H9p4/xLhZnu2+2fw+HKqbPVui8wtu+/kDbxYTmSbkq6miOdUdsV6LW399QbWPfU25Mc7dZrtk7Wp117vdce8h1HUcx1mCUQWKnfQkMMxY2IPQzqlBMcoJnSysEquzW2RWQK7Wqi43cgzKLHeA88/Awpg4tOjn1Zj6G1q2IP8A8hBVb2PJjbIeXyEk7sawNOyKByH9z8ZIM7ZPk7MENYJMTEtHI23MenOSasafn9iJV7x4EEffxkOqbE2++MrqZy4FvoPD5xezMS1NkdQD79weIOf34RFbW3IRFIdxfvhKiueTLLer/Rq6e1QyXdbC+ds+Q0Pj8IeJ3KqDddd8d5TexB8NbSnw9QFFVSd4m1xpztz/AMGE6lWszA8QeR635/QTZ41w1/WckJuuTbdjtoO9Io47yEqRxH8Xv5WmhI5XnPezGMKYnL3XW1uAIPTqPhOiWuM5wZo6yaRpGWytiGa0yXaHEF6ir+UAm3M3tf75maiu1gcx5zDY/E79dwLEAEAjTUSYfkjfD+aM7iaS+1AGpck24am3STlqKUsTncqLcTqN0cdYxiFCu7nUKCLnjne3p8Y5szCFU3mHeOYvqAR8Lz1HKLgjHDCS9RJR+yZgMe1Oz01u5F2JyQfsN9T0Hwmu2XttKuXutldT9OYmPXCIxN1BOtyL6/zeVtclCyK+64Zdy1wQLAix9RMMtZHbL/xZY03J3b4/Z2GjU+/rOW9sdqDEYglTdEG4h4G3vMPE/ACP4ntVVbD+xtaobq7g6r+3kToeWflnVE5449XZcE11DpmFUW2YirRV8pdGomi1mWoDYi+Y6gj6wRKmxt6Q4qJ1RPpLuqq6gAC518Y5FBMor2d4G6VKkMEiNMZN9mJErqw4XgJpkaq9hl9mRUe7jxv6RVaqMxoeRkfBuLkk9JaRzyl8kiY51POScFR3kY3AsAbm+ls9JBeoCdchJmGfuFf2k/T6zSCWysyzy+DombJAUOb33Qd3r4fD1kV3uM9b39dflBSrgKAL63PI3Nj8oAnebla+XiJtLsl/WceN8OyViWCeya2Yz88jb4zoWz8e7jeVSEbNVOe7f8u82tvpOc4+vvgbp4Wtpn8uU3XYrFb1EA6rlb76gzl9XFSaa/RpATjXr1W3BdR+pVH5bHibdNRqZCqbIFKhvnvOXCs3RQRYdLzYVBKXaueGbo//AC/mcuNUzrxOpL9mIxWFDPvXzByGo9I4MQyr314e8tyMuJHCOV/f8f4/tHfLmPrN/dcZUz0HhX5R4YlGGTA5adLH+bSp7RU9Gtm1gDy3bnXwJ9JLqIyHu2scmU6EHiORg2jTLUiWBunvA6iws3/qSfOax5+XYxzSuEod0r/4Z2m5GuvHxkhWvIuJfpplfnbS/wB8oFY6ypxp0jgw5do8ku8F4nDo73CqWtrYXjn4Sp+hvSZm26GmgjpwlT9DekEA3RaXgvGwYsGQdSHA1tYYeNXiHaAWOOUPvAHxEipg/am1OjvW1IFgPFspednuz7Yk773WkOWRfovTrN7hdmogCIoVRoBwElzSOXLl7ROS1NhVQf8A85P/AGkn6yRhezGKf3aLrw7xAGvUzstLDIugERi6hRGZRdrWUfuOQkvO+yMk3JUznGB7E2YLiatmKnuU82tnmzHQZy0xHYNCpNGq6vu2AezL5kAES3w2zCCXYku2rXzPjJisy6MfPOT707uy/wDHjVI4viWem7I67rq1iORB4dPpaabsVtH2e+pPW334fGaLbPZilia3tnYqxADblgGtxPW1h5CDZvZOgjFkDEkWJLEi1wdPKaTyqUK7mUcEtrfQk/8AVyYxi6+/RdR+tWt5i8s0wCI1t0SVWoKRkAJzx2i7OuONJpmAro28LqQLa2NoL5/Gbj2QYEMOlplts7AcEtSzH6Tl6SnO5Wzsjk4plVjXIAta5IHx1jWPxTCiWFmPuODnlorZcc7GVuKqOrhWBVgTkfvpE06rByL5Ov8A7L/E68U1Favo+f5PP9VtJvJF01x/BUuQQfC/mLX+IhB7iO7SSzBhx+cr1e15tJ7Hn45a2jsf9JVp1MPVRlBdH142IBH19Juzs6kfyL6Tkv8ARzHFcU6cHTyup/n4TsttRJaQOXJBbZVI/kX0gkwiCKhWcDRo4DIFKvlH1qTNo9aM0STFbNwjYistJfdvdzyA1kf2k0vYIoKjqSN4plzOeciTpEZpNR4NzhKaogRV3QoAAkimYxax1i1eYs5ESt+M12y8xDDQqgkLqXHhjLtIlZ7RTVhpElbnOXR0WNUdc5JJtxtGFG7nwllXwIWkzMbkrdRfO508YNUm12Kc4xpPuRKgB1hI/CN4dmK7rCxHxEFUEWYcNfCLryaBV6Z1BsRnHMLU3hnJG7vLvDlImCQb7Dzgo+RbKjM9rsErqXCjeS5B6cZhhTLDfUiyG9z55CdP23h99GRQCzZWJAB55mYevs2o4d1CjvgblwPfYKu6OOdpUaTMskvi15K6ns78QoG+lNyRbfvucs2F7Dymfx+Eem7I4swJ6g9VPEdZ0J+y+JVPcBZf0spvbzlPtqm9aj7P2R9sjgjeFnsRusgvwuQfKdMJ89eDz5Q46Fn/AEtUKWe43t8eNgJ2hjcg8xecX7J4R6CFatNkZjcg5N0M67s+uHpIym9so0+WS1wiURBDglkmGxHYDBkdxHTwdz/uJlRif6dAZpVbwNv7ToZc24Qt685d5LudGzOVYnsRiFF0fe/0/wBpCXs3jkIZaZuMwVNiPW07EbQBgI/c8pDU35Oa4TG7VTJsO7j9wF/UGWFPbGNOuDfrY/3m8DiJIHKS5fQbLwZNNs1tGwlYdbLb/dGcZt2uB3MM5P7t0D5zZGIamDwk2vAbHO02ji3YF6KKtxfvHe8rXzl4mMsBnf5+c0DYBDqg8pGfY1I/lImm0WqaoalKLtMzmKxz3si3HXSXNLGMyrvj3Rawz84K2wVPusRGaOxaiXs4I5GJqFcPkuORuXyqgq2J7wI00zgxONG7bdz4w62yKzEd5QAb8c43X2PWJHfUDj1kUvJv7sQ0qOqDPURrC1it2vmcvKSMRs6qy7oZRlANn1Qm4N2/EmPjyJ5EV2If2jBeGp4iM47B4msy7tREWkysncBIYcDnYrplLGhseot+8M9ZcbPo7i2IudSZPCFknGUTIVcLtX8uJRv9AX6GPJsjE1U3cTVvpbcUX696wmxar+0RJr/tENo/1HPyZzbgIRAFyAAvxsNBeXHZjFJd0UMqtZgG1B4w8codCpAHKVWE7rqSbENbym2OSqkYzXNs3CnKCM4dsoc3Mxki8IU4sGAzm1NLEm0QQI4yiNExNDTFALDsIlBeAiKh2GWgB6RKLHRBJisKETFbsIoY9WFobYmELx32R5QjRPKLR+B7IRaNuskewblENh2icJeAUl5I4hWkgYVof4Vovbl4K3XkjERIElfhDAcEYe1PwG8fJGsILCSPwRg/BmHsz8C3RXVabcCJCei3Ecc5ffgzFDAS44prsS5xZEpY/PJTYC0ElNg7QppWUW0SwXBRa4KTAYYM6dF4MNmRRgxFfg1km8ENV4DZkf8ACrDGGEkQQ1QrYx+HEP8ADiPQo6QWxr2Ah+yEXChQCPZiDcEXeJjEFuCFuiHAYAJsIVoomJJgMIxJhkxBMACJiSYZMbcwAImOb0YYwb0AGsRVtBIeJNzBEM0YihDglEhCGIIIgDggggAIDBBAARJhwQATCgggAUBgggAkxJgggAgwjBBAYho00EEAG2jdXSCCAEF4UEEkZ//Z",Fiction,Lebanon,https://www.neelwafurat.com/images/lb/abookstore/covers/normal/76/76847.gif,,
Cinammon,,,Samar Yazbek,Emily Danby,Haus,,2013,Female,Syria,https://www.publishersweekly.com/pw/translation/search/index.html,https://pictures.abebooks.com/isbn/9781906697433-us.jpg,,Fiction,,,,
Wild Mulberries,,,Iman Humaydan Younes,Michelle Hartman,Interlink,,2008,Female,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,https://www.interlinkbooks.com/wp-content/uploads/2018/11/9781566567008-600x929.jpg,,Fiction,,,,
Red Wine,,,Amina Zaydan,Sally Gomaa,American University at Cairo,,2011,Female,Egypt,https://www.publishersweekly.com/pw/translation/search/index.html,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529069481l/27773088.jpg,,Fiction,,,,
"Ninety-Ninth Floor,",,,Jana Elhassan,Michelle Hartman,Interlink,,2016,Female,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,https://www.interlinkbooks.com/wp-content/uploads/2018/12/9781566560542-600x915.jpg,,Fiction,,,,
"Disfigured: A Saudi Woman’s Story of Triumph over Violence,",,,Rania Al-Baz,Catherine Spencer,Interlink,,2008,Female,Saudi Arabia,https://www.publishersweekly.com/pw/translation/search/index.html,https://www.interlinkbooks.com/wp-content/uploads/2018/11/9781566567350-600x901.jpg,,Nonfiction,,,,
Divine Names: The 99 Healing Names of the One Love,,,Rosina-Fawzia Al-Rawi,Monique Arav,Interlink,,2015,Female,Iraq,https://www.publishersweekly.com/pw/translation/search/index.html,https://www.interlinkbooks.com/wp-content/uploads/2018/12/9781566569873-600x600.jpg,,Nonfiction,,,,
End of Spring,,,Sahar Khalifeh,Paula Haydar,Interlink,,2008,Female,Palestine,https://www.publishersweekly.com/pw/translation/search/index.html,https://www.interlinkbooks.com/wp-content/uploads/2018/11/9781566566810-600x893.jpg,,Fiction,,,,
"Sea-Migrations: Tahriib,",,,Asha Lul Mohamud Yusuf,Clare Pollard,Bloodaxe,,2018,Female,Somalia,https://www.publishersweekly.com/pw/translation/search/index.html,https://www.bloodaxebooks.com/content/products/2017-12/l/5a21a03bae629.jpg,,Poetry,,,,
"Baghdad Clock,",,,Shadad Al Rawi,Luke Leafgren,Oneworld,,2018,Male,Iraq,https://www.publishersweekly.com/pw/translation/search/index.html,https://oneworld-publications.com/media/catalog/product/cache/1/image/650x/040ec09b1e35df139433887a97daa66f/b/a/baghdad_clock_the_9781786074867_mmp.jpg,,Fiction,,,,
My Own Special Way,,,Mithaa Alkhayyat,Fatima Sharafeddini,,,2012,Female,United Arab Emirates,https://www.publishersweekly.com/pw/translation/search/index.html,,,Children's,,,,
Journey,,,Radwa Ashour,Michelle Hartman,Olive Branch Press,,2018,Female,Egypt,https://www.publishersweekly.com/pw/translation/search/index.html,https://www.interlinkbooks.com/wp-content/uploads/2018/12/9781623719975-600x900.jpg,,Nonfiction,,,,
Occasional Virgin,,,Hanan Al-Shaykh,Catherine Cobham,Pantheon,,2018,Female,Lebanon,https://www.publishersweekly.com/pw/translation/search/index.html,"https://images-na.ssl-images-amazon.com/images/I/51Ih8ORxcaL._SX329_BO1,204,203,200_.jpg",,Fiction,,,,
